iter	Passed	Remaining
0	2	2230
1	2	1272
2	2	935
3	3	751
4	3	643
5	3	571
6	3	524
7	3	484
8	4	452
9	4	426
10	4	407
11	4	390
12	4	376
13	5	364
14	5	353
15	5	344
16	5	336
17	6	328
18	6	320
19	6	313
20	6	306
21	6	302
22	6	296
23	7	292
24	7	287
25	7	283
26	7	279
27	7	276
28	8	272
29	8	269
30	8	266
31	8	263
32	8	261
33	9	258
34	9	256
35	9	253
36	9	252
37	9	250
38	10	248
39	10	246
40	10	244
41	10	242
42	10	241
43	11	239
44	11	238
45	11	236
46	11	235
47	11	234
48	12	233
49	12	232
50	12	231
51	12	231
52	12	229
53	13	229
54	13	227
55	13	226
56	13	225
57	13	224
58	14	223
59	14	223
60	14	222
61	14	222
62	14	221
63	15	221
64	15	221
65	15	222
66	15	221
67	16	220
68	16	220
69	16	220
70	16	219
71	17	219
72	17	218
73	17	218
74	17	217
75	17	217
76	18	216
77	18	216
78	18	216
79	18	215
80	18	215
81	19	214
82	19	212
83	19	212
84	19	211
85	19	212
86	20	211
87	20	211
88	20	210
89	20	210
90	20	209
91	21	209
92	21	208
93	21	208
94	21	207
95	22	207
96	22	206
97	22	206
98	22	206
99	22	205
100	23	205
101	23	205
102	23	204
103	23	204
104	23	203
105	24	203
106	24	203
107	24	202
108	24	202
109	24	201
110	25	201
111	25	201
112	25	200
113	25	200
114	25	199
115	26	199
116	26	198
117	26	198
118	26	197
119	26	197
120	27	197
121	27	196
122	27	195
123	27	195
124	27	195
125	28	195
126	28	194
127	28	193
128	28	193
129	28	193
130	29	193
131	29	192
132	29	192
133	29	192
134	29	191
135	30	191
136	30	191
137	30	191
138	30	190
139	31	190
140	31	190
141	31	189
142	31	189
143	31	188
144	31	188
145	32	188
146	32	187
147	32	187
148	32	186
149	32	186
150	33	186
151	33	185
152	33	185
153	33	185
154	33	184
155	34	184
156	34	183
157	34	183
158	34	183
159	34	183
160	35	182
161	35	182
162	35	182
163	35	181
164	35	181
165	36	181
166	36	180
167	36	180
168	36	180
169	36	180
170	37	180
171	37	181
172	37	181
173	38	180
174	38	180
175	38	180
176	38	179
177	38	179
178	39	179
179	39	179
180	39	178
181	39	178
182	39	178
183	40	177
184	40	177
185	40	177
186	40	177
187	40	176
188	41	176
189	41	176
190	41	176
191	41	175
192	41	175
193	42	175
194	42	174
195	42	174
196	42	174
197	43	174
198	43	174
199	43	174
200	43	173
201	43	173
202	44	173
203	44	173
204	44	172
205	44	172
206	44	172
207	45	172
208	45	171
209	45	171
210	45	171
211	46	171
212	46	171
213	46	171
214	46	171
215	47	171
216	47	171
217	47	171
218	47	170
219	48	170
220	48	170
221	48	170
222	48	169
223	48	169
224	49	169
225	49	169
226	49	168
227	49	168
228	50	168
229	50	168
230	50	168
231	51	168
232	51	168
233	51	168
234	51	168
235	51	168
236	52	167
237	52	167
238	52	167
239	52	167
240	52	166
241	53	166
242	53	166
243	53	165
244	53	165
245	53	165
246	54	165
247	54	164
248	54	164
249	54	164
250	54	164
251	55	163
252	55	163
253	55	163
254	55	162
255	55	162
256	56	162
257	56	161
258	56	161
259	56	161
260	56	161
261	57	160
262	57	160
263	57	160
264	57	160
265	57	159
266	58	159
267	58	159
268	58	159
269	58	159
270	59	158
271	59	158
272	59	158
273	59	158
274	59	157
275	60	157
276	60	157
277	60	157
278	60	156
279	60	156
280	61	156
281	61	156
282	61	156
283	61	155
284	62	155
285	62	155
286	62	155
287	62	155
288	62	154
289	63	154
290	63	154
291	63	154
292	63	153
293	63	153
294	64	153
295	64	153
296	64	152
297	64	152
298	64	152
299	65	152
300	65	151
301	65	151
302	65	151
303	66	151
304	66	150
305	66	150
306	66	150
307	66	150
308	66	149
309	67	149
310	67	149
311	67	149
312	67	148
313	67	148
314	68	148
315	68	147
316	68	147
317	68	147
318	68	147
319	69	146
320	69	146
321	69	146
322	69	146
323	69	145
324	70	145
325	70	145
326	70	144
327	70	144
328	70	144
329	71	144
330	71	143
331	71	143
332	71	143
333	71	143
334	72	142
335	72	142
336	72	142
337	72	142
338	72	141
339	73	141
340	73	141
341	73	141
342	73	141
343	73	140
344	74	140
345	74	140
346	74	140
347	74	139
348	74	139
349	75	139
350	75	139
351	75	138
352	75	138
353	75	138
354	75	138
355	76	137
356	76	137
357	76	137
358	76	137
359	77	136
360	77	136
361	77	136
362	77	136
363	77	136
364	78	136
365	78	135
366	78	135
367	78	135
368	79	135
369	79	135
370	79	134
371	79	134
372	79	134
373	80	134
374	80	134
375	80	133
376	80	133
377	81	133
378	81	133
379	81	133
380	81	132
381	81	132
382	82	132
383	82	132
384	82	131
385	82	131
386	82	131
387	83	131
388	83	130
389	83	130
390	83	130
391	83	130
392	84	130
393	84	129
394	84	129
395	84	129
396	84	129
397	85	128
398	85	128
399	85	128
400	85	128
401	86	127
402	86	127
403	86	127
404	86	127
405	86	126
406	87	126
407	87	126
408	87	126
409	87	126
410	87	125
411	88	125
412	88	125
413	88	125
414	88	124
415	88	124
416	89	124
417	89	124
418	89	124
419	89	123
420	89	123
421	90	123
422	90	123
423	90	122
424	90	122
425	90	122
426	90	122
427	91	121
428	91	121
429	91	121
430	91	121
431	91	120
432	92	120
433	92	120
434	92	120
435	92	120
436	92	119
437	93	119
438	93	119
439	93	119
440	93	119
441	94	118
442	94	118
443	94	118
444	94	118
445	94	117
446	95	117
447	95	117
448	95	117
449	95	117
450	96	116
451	96	116
452	96	116
453	96	116
454	96	115
455	97	115
456	97	115
457	97	115
458	97	115
459	97	114
460	98	114
461	98	114
462	98	114
463	98	113
464	98	113
465	99	113
466	99	113
467	99	113
468	99	112
469	99	112
470	100	112
471	100	112
472	100	111
473	100	111
474	100	111
475	101	111
476	101	111
477	101	110
478	101	110
479	101	110
480	102	110
481	102	109
482	102	109
483	102	109
484	102	109
485	103	109
486	103	108
487	103	108
488	103	108
489	103	108
490	104	107
491	104	107
492	104	107
493	104	107
494	104	107
495	105	106
496	105	106
497	105	106
498	105	106
499	105	105
500	106	105
501	106	105
502	106	105
503	106	105
504	106	104
505	107	104
506	107	104
507	107	104
508	107	103
509	107	103
510	108	103
511	108	103
512	108	103
513	108	102
514	108	102
515	109	102
516	109	102
517	109	101
518	109	101
519	109	101
520	110	101
521	110	101
522	110	100
523	110	100
524	110	100
525	111	100
526	111	99
527	111	99
528	111	99
529	111	99
530	112	99
531	112	98
532	112	98
533	112	98
534	113	98
535	113	98
536	113	97
537	113	97
538	113	97
539	114	97
540	114	96
541	114	96
542	114	96
543	114	96
544	115	96
545	115	95
546	115	95
547	115	95
548	115	95
549	116	94
550	116	94
551	116	94
552	116	94
553	116	94
554	116	93
555	117	93
556	117	93
557	117	93
558	117	92
559	118	92
560	118	92
561	118	92
562	118	92
563	118	91
564	119	91
565	119	91
566	119	91
567	119	90
568	119	90
569	120	90
570	120	90
571	120	90
572	120	89
573	120	89
574	121	89
575	121	89
576	121	89
577	121	88
578	121	88
579	122	88
580	122	88
581	122	87
582	122	87
583	122	87
584	123	87
585	123	87
586	123	86
587	123	86
588	123	86
589	124	86
590	124	85
591	124	85
592	124	85
593	124	85
594	125	85
595	125	84
596	125	84
597	125	84
598	125	84
599	126	84
600	126	83
601	126	83
602	126	83
603	127	83
604	127	83
605	127	82
606	127	82
607	127	82
608	128	82
609	128	82
610	128	81
611	128	81
612	128	81
613	129	81
614	129	80
615	129	80
616	129	80
617	129	80
618	130	80
619	130	79
620	130	79
621	130	79
622	130	79
623	131	79
624	131	78
625	131	78
626	131	78
627	131	78
628	132	77
629	132	77
630	132	77
631	132	77
632	132	77
633	133	76
634	133	76
635	133	76
636	133	76
637	133	75
638	134	75
639	134	75
640	134	75
641	134	75
642	134	74
643	135	74
644	135	74
645	135	74
646	135	74
647	135	73
648	136	73
649	136	73
650	136	73
651	136	73
652	137	72
653	137	72
654	137	72
655	137	72
656	137	71
657	138	71
658	138	71
659	138	71
660	138	71
661	138	70
662	139	70
663	139	70
664	139	70
665	139	70
666	139	69
667	140	69
668	140	69
669	140	69
670	140	69
671	140	68
672	141	68
673	141	68
674	141	68
675	141	67
676	141	67
677	142	67
678	142	67
679	142	67
680	142	66
681	143	66
682	143	66
683	143	66
684	143	66
685	143	65
686	144	65
687	144	65
688	144	65
689	144	64
690	144	64
691	145	64
692	145	64
693	145	64
694	145	63
695	145	63
696	145	63
697	146	63
698	146	63
699	146	62
700	146	62
701	146	62
702	147	62
703	147	61
704	147	61
705	147	61
706	147	61
707	148	61
708	148	60
709	148	60
710	148	60
711	148	60
712	149	60
713	149	59
714	149	59
715	149	59
716	149	59
717	150	58
718	150	58
719	150	58
720	150	58
721	150	58
722	151	57
723	151	57
724	151	57
725	151	57
726	151	57
